country_code,country_name,region,income_level,DT.DOD.DECT.GN.ZS,DT.DOD.DSTC.ZS,DT.TDS.DECT.EX.ZS,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,76.0700580586773,16.1722,31.8505046193829,22014429050.9995,7753.8119527678,2839175,5632916052.14541
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,90.1349716229773,38.1091,18.1501287979427,58618380563.3803,5073.92103605892,11552876,21939099361.5116
JPN,Japan,East Asia & Pacific,High income,,,,4190008188358.57,33797.1014287876,123975371,1230666979042.45
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,62.6029318152699,11.6956,48.4343756201676,291480274648.826,14154.6324958076,20592571,45807523139.2563
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,34.992669732423,4.6816,27.2238636965006,120397537849.826,2133.46193404026,56432944,10066607177.351
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,69.2449937236268,13.667,13.953203049199,18161630698.9052,2514.81066933171,7221868,5088723593.73523
KHM,Cambodia,East Asia & Pacific,Lower middle income,46.1114046291379,20.4818,10.5425721165318,46352647037.2406,2627.87969756224,17638801,22505568572.5432
KIR,Kiribati,East Asia & Pacific,Lower middle income,,,,343153235.077124,2550.98377226188,134518,
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,,,,1122388888.88889,23960.6534357084,46843,294747744.694362
KOR,"Korea, Rep.",East Asia & Pacific,High income,,,,1875388209406.8,36238.639908315,51751065,418218648901.669
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,160903106639.233,32855.7209688827,4897263,50727942998.1333
LAO,Lao PDR,East Asia & Pacific,Lower middle income,115.404417712173,6.1502,19.0423898045972,16502933121.3379,2123.97909415109,7769819,2213001000.16953
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,28.2609,21.04734596175,25971643441.3408,4473.27134441128,5805962,33301277509.6206
LBR,Liberia,Sub-Saharan Africa ,Low income,50.457044003161,0.0,9.14927792628863,4779300900.0,851.497723870206,5612817,367711666.748042
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,,,48487151215.345,6569.16408678648,7381023,92893708178.1604
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,51.3109697332727,6.6623,4.74628702405992,2605148148.14815,14493.658470648,179744,406063791.484465
LIE,Liechtenstein,Europe & Central Asia,High income,,,,8905764270.4054,220167.225473557,40450,
LKA,Sri Lanka,South Asia,Upper middle income,58.8897020425324,10.2379,23.7051670387884,99616111265.7633,4545.36006870612,21916000,6093946546.37437
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,65.3503315479921,0.1825,6.88637904028134,2391282547.80028,1023.04227681523,2337423,1007862057.19677
LTU,Lithuania,Europe & Central Asia,High income,,,,85503938573.5664,29603.7772588256,2888278,7407101582.10623
LUX,Luxembourg,Europe & Central Asia,High income,,,,93279851863.4062,137781.681659123,677012,2789187309.62034
LVA,Latvia,Europe & Central Asia,High income,,,,44001275012.6141,23578.9663562625,1866124,5140826261.28181
MAC,"Macao SAR, China",East Asia & Pacific,High income,,,,49467258923.3244,72004.7437020733,687000,29391736000.0
