country_code,country_name,total_debt_usd,private_png_debt_usd,public_ppg_debt_usd,short_term_debt_usd,ibrd_debt_usd,ida_debt_usd,world_bank_debt_usd,total_debt_service_usd,ppg_debt_service_usd,multilateral_debt_service_usd,region,income_level,debt_pct_gni,short_term_pct_reserves,debt_service_pct_exports,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd,short_term_share,public_ppg_share,private_png_share,multilateral_share,debt_pct_gdp,debt_service_pct_debt,reserves_to_debt,debt_per_capita_usd
KAZ,Kazakhstan,167535209792.2,112012898557.1,34031829383.1,19594364000.0,3831067000.0,,3831067000.0,46332862901.6,5552006344.8,1693455380.3,Europe & Central Asia,Upper middle income,62.6029318152699,11.6956,48.4343756201676,291480274648.826,14154.6324958076,20592571,45807523139.2563,0.11695669241291785,0.20313240079688866,0.6685931792847226,0.022867234921852015,57.47737475341878,27.655597267624117,0.2734202750339647,8135.711164584549
KEN,Kenya,42886127218.3,337611692.6,35582544109.4,2007772843.5,1947156000.0,11872969000.0,13820125000.0,5669589267.3,5289139273.0,1370259641.6,Sub-Saharan Africa ,Lower middle income,34.992669732423,4.6816,27.2238636965006,120397537849.826,2133.46193404026,56432944,10066607177.351,0.046816371020866165,0.829698236174996,0.00787228212240944,0.32225164397923983,35.62043542102384,13.220100846225913,0.2347287533357748,759.948430446939
KGZ,Kyrgyz Republic,11689916629.6,5409712000.0,4216586368.2,1597664000.0,,749695000.0,749695000.0,817340885.3,287965917.5,131981684.6,Europe & Central Asia,Lower middle income,69.2449937236268,13.667,13.953203049199,18161630698.9052,2514.81066933171,7221868,5088723593.73523,0.136670264692441,0.3607028605767123,0.4627673722070939,0.06413176618400337,64.36600778532888,6.991845290242821,0.4353088011637388,1618.6832312083245
KHM,Cambodia,20977325204.1,4434635000.0,11917966029.0,4296540000.0,,1654182000.0,1654182000.0,3408104131.7,544261646.5,158639791.2,East Asia & Pacific,Lower middle income,46.1114046291379,20.4818,10.5425721165318,46352647037.2406,2627.87969756224,17638801,22505568572.5432,0.20481829585977174,0.5681356375535735,0.21140135631463894,0.07885571606034365,45.25593799906705,16.246609606042096,1.0728521560100766,1189.2716066188398
LAO,Lao PDR,17836681019.8,6516761611.6,10024589005.6,1096995000.0,,886793000.0,886793000.0,2139107053.7,820712717.9,138510554.7,East Asia & Pacific,Lower middle income,115.404417712173,6.1502,19.0423898045972,16502933121.3379,2123.97909415109,7769819,2213001000.16953,0.061502193080778686,0.5620209833024421,0.36535729962126506,0.04971737729769322,108.08188392121396,11.99274153821239,0.12407022347447598,2295.636619051229
LBN,Lebanon,67389006707.2,13572106000.0,33728240178.5,19044742491.0,1118759000.0,87784000.0,1206543000.0,2487164872.3,176463191.8,176403668.3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,28.2609,21.04734596175,25971643441.3408,4473.27134441128,5805962,33301277509.6206,0.28260903998404263,0.5005006280185519,0.2013994071610188,0.017904151714868505,259.4714764947543,3.6907575787643503,0.494164836919352,11606.863204960693
LBR,Liberia,2234742478.9,145759853.5,1408536037.6,0.0,,929174000.0,929174000.0,138273037.3,34820816.5,31947708.4,Sub-Saharan Africa ,Low income,50.457044003161,0.0,9.14927792628863,4779300900.0,851.497723870206,5612817,367711666.748042,0.0,0.6302900897526765,0.06522445197880111,0.4157857152549247,46.75877342018788,6.187426005705216,0.1645431946722736,398.14989138252685
LCA,St. Lucia,1193706001.5,,1040522086.0,79529000.0,2480000.0,226443000.0,228923000.0,78644489.1,71888273.8,27322755.5,Latin America & Caribbean ,Upper middle income,51.3109697332727,6.6623,4.74628702405992,2605148148.14815,14493.658470648,179744,406063791.484465,0.06662360740422231,0.8716736656199178,,0.191775026440629,45.82104101636358,6.588262855441461,0.3401706877356811,6641.145192607264
LKA,Sri Lanka,56827528393.8,8569475000.0,39541858681.4,5817999373.9,1052439000.0,3566305000.0,4618744000.0,4810129289.0,2719569468.5,1031848727.3,South Asia,Upper middle income,58.8897020425324,10.2379,23.7051670387884,99616111265.7633,4545.36006870612,21916000,6093946546.37437,0.1023799475068276,0.6958222502197385,0.15079795377718638,0.08127652443360381,57.04652357106299,8.464435151335554,0.10723581895283046,2592.9699029841213
LSO,Lesotho,1773147342.7,608521000.0,1016058492.6,3237695.3,,504651000.0,504651000.0,110035590.7,77325670.4,51916535.9,Sub-Saharan Africa ,Lower middle income,65.3503315479921,0.1825,6.88637904028134,2391282547.80028,1023.04227681523,2337423,1007862057.19677,0.0018259595364871985,0.573025415390935,0.3431869339596986,0.2846074817626604,74.15047395093912,6.20566537535719,0.5684028805311138,758.59069697697
MAR,Morocco,67993946129.4,11477469444.3,45727304918.4,7504234000.0,10202335000.0,98000.0,10202433000.0,8901883062.4,6065613761.1,2381232110.2,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,44.7188367863758,11.0366,12.9254798325863,160610994054.734,4153.1943359375,38081173,37133907722.7893,0.11036620798149607,0.6725202392485925,0.1688013433204348,0.15004913791271418,42.33455283031783,13.092170066815553,0.5461354993593013,1785.5003082336775
